,Casino,Free_internet,Gym,Helpful_votes,Hotel_name,Hotel_stars,Member_years,Nr_hotel_reviews,Nr_reviews,Nr_rooms,Period_of_stay,Pool,Review_month,Review_weekday,Score,Spa,Tennis_court,Traveler_type,User_continent,User_country
0,True,True,True,13,Circus Circus Hotel & Casino Las Vegas,3,9.0,4,11,3773.0,Dec-Feb,False,January,Thursday,1,False,False,Friends,North America,USA
1,True,True,True,75,Circus Circus Hotel & Casino Las Vegas,3,3.0,21,119,3773.0,Dec-Feb,False,January,Friday,0,False,False,Business,North America,USA
2,True,True,True,25,Circus Circus Hotel & Casino Las Vegas,3,2.0,9,36,3773.0,Mar-May,False,February,Saturday,1,False,False,Families,North America,USA
3,True,True,True,14,Circus Circus Hotel & Casino Las Vegas,3,6.0,7,14,3773.0,Mar-May,False,February,Friday,1,False,False,Friends,Europe,UK
4,True,True,True,2,Circus Circus Hotel & Casino Las Vegas,3,7.0,5,5,3773.0,Mar-May,False,March,Tuesday,1,False,False,Solo,North America,Canada
5,True,True,True,27,Circus Circus Hotel & Casino Las Vegas,3,2.0,8,31,3773.0,Mar-May,False,March,Tuesday,0,False,False,Couples,North America,Canada
6,True,True,True,46,Circus Circus Hotel & Casino Las Vegas,3,4.0,12,45,3773.0,Mar-May,False,April,Friday,1,False,False,Couples,Europe,UK
7,True,True,True,4,Circus Circus Hotel & Casino Las Vegas,3,10.0,1,2,3773.0,Mar-May,False,April,Tuesday,1,False,False,Families,North America,USA
8,True,True,True,8,Circus Circus Hotel & Casino Las Vegas,3,3.0,3,24,3773.0,Mar-May,False,May,Saturday,1,False,False,Friends,Asia,India
9,True,True,True,11,Circus Circus Hotel & Casino Las Vegas,3,5.0,7,12,3773.0,Mar-May,False,May,Tuesday,0,False,False,Families,North America,Canada
10,True,True,True,58,Circus Circus Hotel & Casino Las Vegas,3,9.0,24,102,3773.0,Jun-Aug,False,June,Friday,0,False,False,Families,North America,USA
11,True,True,True,24,Circus Circus Hotel & Casino Las Vegas,3,4.0,9,20,3773.0,Jun-Aug,False,June,Saturday,0,False,False,Friends,Oceania,Australia
12,True,True,True,9,Circus Circus Hotel & Casino Las Vegas,3,1.0,6,7,3773.0,Jun-Aug,False,July,Wednesday,0,False,False,Friends,North America,USA
13,True,True,True,13,Circus Circus Hotel & Casino Las Vegas,3,1.0,5,22,3773.0,Jun-Aug,False,July,Thursday,0,False,False,Friends,North America,USA
14,True,True,True,0,Circus Circus Hotel & Casino Las Vegas,3,1.0,3,3,3773.0,Jun-Aug,False,August,Sunday,0,False,False,Friends,Europe,UK
15,True,True,True,33,Circus Circus Hotel & Casino Las Vegas,3,2.0,17,146,3773.0,Jun-Aug,False,August,Saturday,1,False,False,Families,Oceania,New Zeland
16,True,True,True,9,Circus Circus Hotel & Casino Las Vegas,3,4.0,8,8,3773.0,Sep-Nov,False,September,Wednesday,0,False,False,Families,North America,Canada
17,True,True,True,1,Circus Circus Hotel & Casino Las Vegas,3,2.0,3,9,3773.0,Sep-Nov,False,September,Saturday,1,False,False,Families,North America,USA
18,True,True,True,19,Circus Circus Hotel & Casino Las Vegas,3,2.0,9,41,3773.0,Sep-Nov,False,October,Tuesday,0,False,False,Couples,North America,Canada
19,True,True,True,26,Circus Circus Hotel & Casino Las Vegas,3,10.0,7,8,3773.0,Sep-Nov,False,October,Monday,0,False,False,Couples,North America,USA
20,True,True,True,2,Circus Circus Hotel & Casino Las Vegas,3,7.0,5,10,3773.0,Sep-Nov,False,November,Saturday,1,False,False,Couples,Europe,UK
21,True,True,True,3,Circus Circus Hotel & Casino Las Vegas,3,3.0,3,4,3773.0,Sep-Nov,False,November,Monday,0,False,False,Couples,Oceania,New Zeland
22,True,True,True,19,Circus Circus Hotel & Casino Las Vegas,3,10.0,7,18,3773.0,Dec-Feb,False,December,Saturday,1,False,False,Families,Europe,UK
23,True,True,True,3,Circus Circus Hotel & Casino Las Vegas,3,5.0,4,4,3773.0,Dec-Feb,False,December,Sunday,0,False,False,Couples,North America,USA
24,True,True,True,15,Excalibur Hotel & Casino,3,3.0,11,29,3981.0,Dec-Feb,True,January,Monday,1,True,False,Couples,Europe,Ireland
25,True,True,True,52,Excalibur Hotel & Casino,3,11.0,42,114,3981.0,Dec-Feb,True,January,Saturday,1,True,False,Business,North America,USA
26,True,True,True,17,Excalibur Hotel & Casino,3,8.0,12,30,3981.0,Dec-Feb,True,February,Friday,1,True,False,Couples,North America,Canada
27,True,True,True,36,Excalibur Hotel & Casino,3,3.0,18,87,3981.0,Dec-Feb,True,February,Thursday,0,True,False,Business,Europe,UK
28,True,True,True,28,Excalibur Hotel & Casino,3,1.0,10,26,3981.0,Mar-May,True,March,Wednesday,1,True,False,Solo,North America,USA
29,True,True,True,9,Excalibur Hotel & Casino,3,8.0,7,8,3981.0,Mar-May,True,March,Wednesday,1,True,False,Couples,Europe,Ireland
30,True,True,True,13,Excalibur Hotel & Casino,3,7.0,8,11,3981.0,Mar-May,True,April,Friday,1,True,False,Couples,North America,Canada
31,True,True,True,2,Excalibur Hotel & Casino,3,1.0,3,4,3981.0,Mar-May,True,April,Friday,0,True,False,Couples,Oceania,Australia
32,True,True,True,7,Excalibur Hotel & Casino,3,1.0,8,56,3981.0,Mar-May,True,May,Tuesday,0,True,False,Solo,North America,Canada
33,True,True,True,8,Excalibur Hotel & Casino,3,4.0,12,13,3981.0,Mar-May,True,May,Wednesday,0,True,False,Friends,Africa,Egypt
34,True,True,True,15,Excalibur Hotel & Casino,3,10.0,9,58,3981.0,Jun-Aug,True,June,Saturday,1,True,False,Couples,Oceania,Australia
35,True,True,True,4,Excalibur Hotel & Casino,3,6.0,7,20,3981.0,Jun-Aug,True,June,Saturday,0,True,False,Couples,Europe,Finland
36,True,True,True,24,Excalibur Hotel & Casino,3,6.0,27,70,3981.0,Jun-Aug,True,July,Friday,1,True,False,Friends,North America,USA
37,True,True,True,7,Excalibur Hotel & Casino,3,1.0,3,6,3981.0,Jun-Aug,True,July,Thursday,1,True,False,Friends,Africa,Kenya
38,True,True,True,299,Excalibur Hotel & Casino,3,10.0,263,290,3981.0,Jun-Aug,True,August,Monday,1,True,False,Couples,North America,USA
39,True,True,True,9,Excalibur Hotel & Casino,3,2.0,6,24,3981.0,Jun-Aug,True,August,Wednesday,0,True,False,Families,North America,USA
40,True,True,True,21,Excalibur Hotel & Casino,3,2.0,8,29,3981.0,Sep-Nov,True,September,Wednesday,0,True,False,Business,Europe,Jordan
41,True,True,True,59,Excalibur Hotel & Casino,3,8.0,5,20,3981.0,Sep-Nov,True,September,Saturday,0,True,False,Couples,North America,Canada
42,True,True,True,3,Excalibur Hotel & Casino,3,4.0,3,3,3981.0,Sep-Nov,True,October,Saturday,0,True,False,Families,Europe,Netherlands
43,True,True,True,27,Excalibur Hotel & Casino,3,5.0,6,47,3981.0,Sep-Nov,True,October,Monday,1,True,False,Friends,Europe,Ireland
44,True,True,True,19,Excalibur Hotel & Casino,3,6.0,8,35,3981.0,Sep-Nov,True,November,Sunday,1,True,False,Families,North America,USA
45,True,True,True,4,Excalibur Hotel & Casino,3,1.0,0,6,3981.0,Sep-Nov,True,November,Sunday,1,True,False,Friends,Europe,UK
46,True,True,True,54,Excalibur Hotel & Casino,3,7.0,47,74,3981.0,Dec-Feb,True,December,Wednesday,1,True,False,Couples,Europe,UK
47,True,True,True,30,Excalibur Hotel & Casino,3,4.0,8,34,3981.0,Dec-Feb,True,December,Tuesday,0,True,False,Solo,Asia,Syria
48,True,False,True,340,Monte Carlo Resort&Casino,4,3.0,43,576,3003.0,Dec-Feb,True,January,Monday,0,True,False,Couples,Europe,UK
49,True,False,True,11,Monte Carlo Resort&Casino,4,5.0,8,20,3003.0,Dec-Feb,True,January,Saturday,1,True,False,Solo,North America,USA
50,True,False,True,132,Monte Carlo Resort&Casino,4,3.0,32,418,3003.0,Dec-Feb,True,February,Tuesday,0,True,False,Couples,North America,USA
51,True,False,True,22,Monte Carlo Resort&Casino,4,2.0,13,73,3003.0,Dec-Feb,True,February,Tuesday,1,True,False,Couples,North America,USA
52,True,False,True,32,Monte Carlo Resort&Casino,4,2.0,10,30,3003.0,Mar-May,True,March,Wednesday,0,True,False,Couples,North America,Canada
53,True,False,True,17,Monte Carlo Resort&Casino,4,2.0,15,63,3003.0,Mar-May,True,March,Tuesday,1,True,False,Business,North America,USA
54,True,False,True,13,Monte Carlo Resort&Casino,4,5.0,10,24,3003.0,Mar-May,True,April,Wednesday,1,True,False,Couples,Europe,Scotland
55,True,False,True,16,Monte Carlo Resort&Casino,4,5.0,18,54,3003.0,Mar-May,True,April,Tuesday,0,True,False,Business,Africa,South Africa
56,True,False,True,11,Monte Carlo Resort&Casino,4,2.0,7,20,3003.0,Mar-May,True,May,Friday,1,True,False,Couples,Oceania,Australia
57,True,False,True,24,Monte Carlo Resort&Casino,4,3.0,7,41,3003.0,Mar-May,True,May,Monday,1,True,False,Couples,Europe,UK
58,True,False,True,7,Monte Carlo Resort&Casino,4,9.0,5,7,3003.0,Jun-Aug,True,June,Tuesday,1,True,False,Couples,Europe,Ireland
59,True,False,True,15,Monte Carlo Resort&Casino,4,1.0,9,13,3003.0,Jun-Aug,True,June,Monday,1,True,False,Friends,North America,Canada
60,True,False,True,4,Monte Carlo Resort&Casino,4,1.0,5,10,3003.0,Jun-Aug,True,July,Friday,1,True,False,Families,Europe,UK
61,True,False,True,19,Monte Carlo Resort&Casino,4,7.0,6,9,3003.0,Jun-Aug,True,July,Wednesday,0,True,False,Couples,Oceania,New Zeland
62,True,False,True,36,Monte Carlo Resort&Casino,4,5.0,19,36,3003.0,Jun-Aug,True,August,Thursday,0,True,False,Solo,Europe,Swiss
63,True,False,True,19,Monte Carlo Resort&Casino,4,5.0,12,33,3003.0,Jun-Aug,True,August,Saturday,0,True,False,Families,Europe,UK
64,True,False,True,142,Monte Carlo Resort&Casino,4,8.0,126,156,3003.0,Sep-Nov,True,September,Friday,0,True,False,Friends,Asia,United Arab Emirates
65,True,False,True,16,Monte Carlo Resort&Casino,4,5.0,17,19,3003.0,Sep-Nov,True,September,Wednesday,1,True,False,Couples,Europe,Ireland
66,True,False,True,11,Monte Carlo Resort&Casino,4,1.0,17,23,3003.0,Sep-Nov,True,October,Friday,0,True,False,Families,North America,USA
67,True,False,True,3,Monte Carlo Resort&Casino,4,1.0,3,13,3003.0,Sep-Nov,True,October,Sunday,0,True,False,Couples,North America,USA
68,True,False,True,8,Monte Carlo Resort&Casino,4,8.0,5,8,3003.0,Sep-Nov,True,November,Friday,1,True,False,Couples,Europe,Hungary
69,True,False,True,2,Monte Carlo Resort&Casino,4,10.0,0,1,3003.0,Sep-Nov,True,November,Wednesday,0,True,False,Business,Asia,China
70,True,False,True,6,Monte Carlo Resort&Casino,4,1.0,18,21,3003.0,Dec-Feb,True,December,Sunday,0,True,False,Business,Europe,Greece
