,Casino,Free_internet,Gym,Helpful_votes,Hotel_name,Hotel_stars,Member_years,Nr_hotel_reviews,Nr_reviews,Nr_rooms,Period_of_stay,Pool,Review_month,Review_weekday,Score,Spa,Tennis_court,Traveler_type,User_continent
346,YES,YES,YES,46,Tuscany Las Vegas Suites & Casino,3,1,20,119,716,Jun-Aug,YES,June,Sunday,1,YES,YES,Friends,Asia
182,YES,YES,YES,93,The Palazzo Resort Hotel Casino,5,8,19,75,3025,Jun-Aug,YES,August,Sunday,1,YES,NO,Friends,Europe
155,YES,YES,YES,18,The Cosmopolitan Las Vegas,5,3,5,15,2959,Jun-Aug,YES,June,Wednesday,1,YES,NO,Friends,Europe
280,YES,YES,YES,15,Encore at wynn Las Vegas,5,6,11,29,2034,Sep-Nov,YES,September,Monday,1,YES,NO,Couples,North America
126,YES,YES,YES,4,Caesars Palace,5,3,5,5,3348,Mar-May,YES,April,Thursday,1,YES,NO,Couples,North America
448,YES,YES,YES,2,Bellagio Las Vegas,5,6,3,13,3933,Sep-Nov,YES,September,Tuesday,1,YES,NO,Couples,Europe
31,YES,YES,YES,2,Excalibur Hotel & Casino,3,1,3,4,3981,Mar-May,YES,April,Friday,1,YES,NO,Couples,Oceania
113,YES,YES,YES,2,Tropicana Las Vegas - A Double Tree by Hilton Hotel,4,5,3,5,1467,Sep-Nov,YES,September,Wednesday,1,YES,YES,Couples,Oceania
148,YES,YES,YES,1,The Cosmopolitan Las Vegas,5,1,5,12,2959,Mar-May,YES,March,Monday,1,YES,NO,Couples,North America
429,YES,YES,YES,29,The Venetian Las Vegas Hotel,5,4,38,43,4027,Sep-Nov,YES,November,Saturday,1,YES,NO,Couples,Oceania
400,NO,YES,YES,14,Wyndham Grand Desert,3,1,3,14,787,Sep-Nov,YES,October,Sunday,1,NO,YES,Friends,North America
57,YES,NO,YES,24,Monte Carlo Resort&Casino,4,3,7,41,3003,Mar-May,YES,May,Monday,1,YES,NO,Couples,Europe
194,YES,YES,YES,20,Wynn Las Vegas,5,3,5,7,2700,Dec-Feb,YES,February,Saturday,1,YES,YES,Couples,North America
24,YES,YES,YES,15,Excalibur Hotel & Casino,3,3,11,29,3981,Dec-Feb,YES,January,Monday,1,YES,NO,Couples,Europe
17,YES,YES,YES,1,Circus Circus Hotel & Casino Las Vegas,3,2,3,9,3773,Sep-Nov,NO,September,Saturday,1,NO,NO,Families,North America
297,YES,YES,YES,19,Hilton Grand Vacations on the Boulevard,3,1,25,70,1228,Mar-May,YES,April,Sunday,0,YES,NO,Couples,North America
66,YES,NO,YES,11,Monte Carlo Resort&Casino,4,1,17,23,3003,Sep-Nov,YES,October,Friday,1,YES,NO,Families,North America
211,YES,YES,YES,16,Wynn Las Vegas,5,7,4,8,2700,Sep-Nov,YES,October,Saturday,1,YES,YES,Couples,Europe
403,NO,YES,YES,30,Wyndham Grand Desert,3,1,12,24,787,Sep-Nov,YES,October,Sunday,1,NO,YES,Couples,Europe
94,YES,YES,YES,7,Treasure Island- TI Hotel & Casino,4,4,3,12,2884,Dec-Feb,YES,December,Saturday,1,YES,YES,Friends,North America
154,YES,YES,YES,24,The Cosmopolitan Las Vegas,5,7,24,24,2959,Jun-Aug,YES,June,Wednesday,0,YES,NO,Couples,Europe
440,YES,YES,YES,16,Bellagio Las Vegas,5,3,6,12,3933,Mar-May,YES,May,Friday,1,YES,NO,Friends,Europe
23,YES,YES,YES,3,Circus Circus Hotel & Casino Las Vegas,3,5,4,4,3773,Dec-Feb,NO,December,Sunday,0,NO,NO,Couples,North America
225,YES,YES,YES,8,Trump International Hotel Las Vegas,5,7,4,7,1282,Mar-May,YES,May,Sunday,1,YES,NO,Families,South America
432,YES,YES,YES,3,Bellagio Las Vegas,5,3,6,16,3933,Dec-Feb,YES,January,Saturday,1,YES,NO,Solo,Oceania
